,name,author,link,lyrics,chords
0,Baby Its Cold Outside,Willie Nelson,https://tabs.ultimate-guitar.com/tab/willie-nelson/baby-its-cold-outside-chords-4036255,"I really can't stay
Baby, it's cold outside
I've got to go away
But baby, it's cold outside
This evening has been
Been hoping that you'd drop in
So very nice
I'll hold your hands, they're just like ice
My mother will start to worry
Beautiful, what's your hurry?
My father will be pacing the floor
Listen to the fireplace roar
So really, I'd better scurry
Beautiful, please don't hurry
Well, maybe just a half a drink more
Put some records on while I pour
Neighbors might think
Baby it's bad out there
Say what's in this drink?
No cabs to be head out there
I wish I knew how
Your eyes are like starlight now
To break this spell
I'll take your hat --- your hair looks swell
I ought to say no, no, no, sir
Mind if I move in closer
At least I'm gonna say that I tried
-- What's the sense of hurting my pride?
I really can't stay
Baby, don't hold out
Baby, it's cold - out - side
I simply must go
Baby, it's cold outside
Oh, the answer is no
Baby, it's cold outside
Your welcome has been
How lucky that you dropped in
So nice and warm
Look out the window at that storm
My sister will be suspicious
Gosh, your lips look delicious
My brother will be there at the door
Waves upon a tropical shore
My maiden aunt's mind is so vicious
Your lips are delicious
Well, maybe just a cigarette more
Never such a blizzard before
I've got to get home
Baby, you'll freeze out there
Say, lend me a coat
It's up to your knees out there
You've really been grand
I thrill when you touch my hand
But don't you see?
How can you do this thing to me?
There's bound to be talk tomorrow
Think of my lifelong sorrow
At least there will be plenty implied
If you caught pneumonia and died
I really can't stay
Get over that holdout
Baby, it's cold - out - side
","['Bb', 'C7', 'Dm', 'Dbdim', 'Cm7', 'F', 'Cm7', 'F7', 'Bb', 'Cm7', 'Bb', 'Eb', 'Fm7', 'Bb7', 'Eb', 'Eb', 'Edim', 'Bbdim', 'Edim', 'Edim', 'Bbdim', 'Bb', 'G7', 'C7', 'F', 'Bb', 'Cm7', 'Dm7', 'Dbdim', 'Cm7', 'F7', 'Cm7', 'F7', 'Bb', 'Cm7', 'Bbm', 'Eb7', 'Eb7', 'Fm7', 'Bb7', 'Ebmaj7', 'Eb', 'Eb', 'C7', 'F7', 'F7', 'Bb', 'Bb', 'Bbm', 'Bbm', 'Dm7', 'C7', 'F7', 'Bbmaj7', 'Bb', 'Bb', 'Dbdim', 'Cm7', 'Cm7', 'F7', 'Bb', 'Cm7', 'D', 'Eb', 'Eb', 'C7', 'Fm7', 'Fm7', 'Bb7', 'Eb', 'Bb', 'Eb', 'Eb', 'Em', 'Bbm', 'Cm', 'Cm', 'C', 'Bb', 'Bb', 'G7', 'G7', 'C7', 'F7', 'F7', 'Bb', 'Dm', 'Cm7', 'F7', 'Cm7', 'F7', 'Bb', 'Cm7', 'Bbm', 'Eb', 'Eb', 'Fm7', 'Bb7', 'Eb', 'Eb', 'C7', 'F', 'Bb', 'Bb', 'Cm', 'Cm', 'Dm', 'Dbm', 'C', 'F7', 'Bb']"
1,Im All Right,Madeleine Peyroux,https://tabs.ultimate-guitar.com/tab/madeleine-peyroux/im-all-right-chords-867657,"He made me laugh
He made me cry
He smoked his stogies in bed
But I'm all right
I'm all right
I've been lonely before
I asked the boy for a few kind words
He gave me a novel instead
But I'm all right
I'm all right
I've been lonely before
It's fine, it's OK
It was wrong either way
I just wanted to say
There isn't much fun when you're drinking for one
He got drunk, he fell down
He threw a few of my things around
But I'm all right
I'm all right
I've been lonely before
I'd like to believe that it's easy to leave
But I have to conceive that wherever you are
You're still driving my car
Sticks and stones'll break my bones
But tears don't leave any scars
So I'm all right
I'm all right
I've been lonely before
","['Amaj7', 'A7', 'Dmaj7', 'Dm6', 'Amaj7', 'F#m7', 'B7', 'Bm7', 'E9', 'Amaj7', 'A7', 'Dmaj7', 'Dm6', 'Amaj7', 'F#m7', 'B7', 'Bm7', 'E9', 'Amaj7', 'A7', 'Dmaj7', 'Dm6', 'Amaj7', 'A7', 'Dmaj7', 'D9', 'Amaj7', 'F#m7', 'Bm7', 'E9', 'Amaj7', 'A7', 'Dmaj7', 'Dm6', 'Amaj7', 'F#m7', 'B7', 'Bm7', 'E9', 'Amaj7', 'A7', 'Dmaj7', 'Dm6', 'Amaj7', 'A7', 'Dmaj7', 'D9', 'Amaj7', 'F#m7', 'Bm7', 'E9', 'Amaj7', 'A7', 'Dmaj7', 'Dm6', 'Amaj7', 'F#m7', 'B7', 'Bm7', 'E9', 'A6/9']"
2,Singin In The Rain,Jamie Cullum,https://tabs.ultimate-guitar.com/tab/jamie-cullum/singin-in-the-rain-chords-1195015,"I'm singing in the rain
Just singin' in the rain
What a glorious feeling
I'm happy again
I'm laughing at clouds
So dark up above
The sun's in my heart
And I'm ready for love
Let the stormy clouds chase
Everyone from the place
Come on with the rain
I've a smile on my face
I walk down the lane
With a happy refrain
Singin', singin' in the rain
...in the rain
I'm singing in the rain
Just singin' in the rain
What a glorious feeling
I'm happy again
I walk down the lane
With a happy refrain
Singin', singin' in the rain
...in the rain
...in the rain...etc..
(until end of song) 
","['Ebmaj7', 'Fm7', 'Gm', 'Abmaj7', 'Ebmaj7', 'Cm', 'Abmaj7', 'Cm', 'Cmmaj7', 'Cm7', 'Cm6', 'Abmaj7', 'Abm6', 'Dbmaj7', 'C7', 'Bmaj7', 'Ebmaj7', 'Fm7', 'Gm', 'Abmaj7', 'Ebmaj7', 'Cm', 'Abmaj7', 'Cm', 'Cmmaj7', 'Cm7', 'Cm6', 'Abmaj7', 'Abm6', 'Dbmaj7', 'C7', 'Bmaj7', 'Dbmaj7', 'C7', 'Bmaj7', 'Ebmaj7', 'Fm7', 'Gm', 'Abmaj7', 'Ebmaj7', 'Cm', 'Abmaj7', 'Cm', 'Cmmaj7', 'Cm7', 'Cm6', 'Abmaj7', 'Abm6', 'Dbmaj7', 'C7', 'Bmaj7', 'Dbmaj7', 'C7', 'Bmaj7', 'Dbmaj7', 'C7', 'Bmaj7', 'Ebmaj7', 'Dbmaj7']"
3,Twentysomething,Jamie Cullum,https://tabs.ultimate-guitar.com/tab/jamie-cullum/twentysomething-chords-393761,"After years of expensive education,
A car full of books and anticipation
I'm an expert on Shakespeare and that's a hell of a lot.
But the world don't need scholars as much as I thought.
Maybe I'll go trav'ling for a year, finding myself,
Or start a career.
I could work for the poor, though I'm hungry for fame.
Maybe go to the gym so I don't get fat.
Aren't things more easy with a tight six pack?
Who knows the answers, who do you trust?
Maybe move back home and pay off my loans,
Working nine to five, answering phones.
Don't make me live for my friday nights,
I don't want to get up, just let me lie in;
Leave me alone, I'm a twenty-something.
Maybe I'll just fall in love.
That could solve it all.
Philosophers says that that's enough.
Love ain't the answer, nor is work.
The truth eludes me so much it hurts.
But I'm still having fun and I guess that's the key.
Do do and do do and do and do do do do
Do and do do and do and do do do do
Do and do do and do and do do do do
Do and do do and do and do do do do
Do and do do and do and do do do do
Do and do do and do and do do do.
","['F#m', 'D7', 'F#m', 'G7', 'F#m', 'Em', 'C7#11', 'F#m', 'D7', 'F#m', 'D7', 'F#m', 'G7', 'F#m', 'Em7', 'F#m', 'D7', 'F#m', 'G7', 'F#m', 'Em7', 'F#m', 'D7', 'F#m', 'G7', 'F#m', 'Em7', 'F#m', 'Em7', 'C7#11', 'Bmaj7', 'F#maj7', 'Bmaj7', 'F#maj7', 'Bmaj7', 'F#maj7', 'D7', 'F#m', 'G7', 'F#m', 'Em7', 'F#m', 'D9', 'F#m', 'D9', 'F#m', 'D9', 'G7']"
4,All At Sea,Jamie Cullum,https://tabs.ultimate-guitar.com/tab/jamie-cullum/all-at-sea-chords-992480," I´m all at sea.
 where no one can bother me
 forgot my roots
 if only for a day
 just me and my thoughts
 sailing   far away  ay-aye
 like a warm drink that seeps into my soul
 please just leave me right here on my own
 later on you could spend sometime with me
 if you want to aaaall at sea
 I'm all at sea
 where no one can bother me
 I sleep by myself
 I drink on my own
 don´t speak to nobody
 I gave away my phone
 like a warm drink that seeps into my soul
 please just leave me right here on my own
 later on you could spend sometime with me
 if you want to aaaall at sea
 now need you more than ever
 need you more than ever now
  and you don't need it everyday
  but sometimes don´t you just crave
  to dissapear within your mind
  ya never know what you might find
  so come and spend soooome time with me
  and we will spend it all...at...seeeeeeeeaaa. 
 like a warm drink that seeps into my soul
 please just leave me right here on my own
 later on you could spend sometime with me
 if you want to aaaall at sea
","['E', 'A', 'E', 'A', 'D', 'G', 'D', 'G', 'E', 'A', 'E', 'A', 'F#m', 'E', 'Bm', 'A', 'F#m', 'E', 'Bm', 'A', 'F#m', 'A', 'E', 'A', 'E', 'A', 'D', 'G', 'D', 'G', 'E', 'A', 'E', 'A', 'F#m', 'E', 'Bm', 'A', 'F#m', 'E', 'Bm', 'A', 'F#m', 'A', 'E', 'F#m', 'D', 'E', 'F#m', 'D', 'A', 'D', 'F', 'A', 'F', 'A', 'F', 'A', 'F', 'A', 'F', 'A', 'F', 'A', 'F', 'G', 'E', 'Bm', 'A', 'F#m', 'E', 'Bm', 'A', 'F#m', 'E']"
5,All At Sea (ver 3),Jamie Cullum,https://tabs.ultimate-guitar.com/tab/jamie-cullum/all-at-sea-chords-1861368,"  I'm all at sea
  Where no-one can bother me
  Forgot my roots
  If only for a day
  Just me and my thoughts
  sailing far away
Like a warm drink it seeps into my soul
 Please just leave me right here on my own
 Later on you could spend some time with me
 If you want to
All at sea
  I'm all at sea
  Where no-one can bother me
  I sleep by myself
  I drink on my own
  Don't speak to nobody
  I gave away my phone
Like a warm drink it seeps into my soul
 Please just leave me right here on my own
 Later on you could spend some time with me
 If you want to
All at sea
Now I need you
more than ever,
I need you
more than ever, now
   You don't need it every day
   But sometimes don't you just crave
   disappear within your mind
   You never know what you might find
   So come and spend some time with me
   We will spend it all at sea
Like a warm drink it seeps into my soul
 Please just leave me right here on my own
 Later on you could spend some time with me
 If you want to
All at sea
","['D', 'G', 'D', 'G', 'C', 'F', 'C', 'F', 'D', 'G', 'D', 'G', 'Em7', 'D', 'Am', 'D', 'Am', 'D', 'Am', 'G', 'Em', 'G', 'C6add9', 'D', 'G', 'D', 'G', 'C', 'F', 'C', 'F', 'D', 'G', 'D', 'G', 'Em7', 'D', 'Am', 'D', 'Am', 'D', 'Am', 'G', 'Em', 'G', 'C6add9', 'D', 'Dsus4', 'C', 'D', 'Dsus4', 'C', 'G5', 'D#7M', 'D6', 'A#5', 'A#', 'G#7M', 'G5', 'D#7M', 'D6', 'A#5', 'A#', 'G#7M', 'G5', 'D#7M', 'D6', 'A#5', 'A#', 'D#7M', 'D', 'Am', 'D', 'Am', 'D', 'Am', 'G', 'Em', 'G']"
6,Its About Time,Jamie Cullum,https://tabs.ultimate-guitar.com/tab/jamie-cullum/its-about-time-chords-2628987,"Walking down to the water's edge
Where I have been before
If I don't find my love sometime
I'm walking out that door
Some may come and some may go
But no-one seems to be
The person I've been searching for
The one who's meant for me
Biding my time, trying to find a heart that's lonely
Looking for her, my love my one and only
Maybe I'll dream, tonight about the girl who'll be coming my way
So I'll take this chance and celebrate the day
I'm making my way through an open door
I've got some love and so much more
And I""m ready to make someone mine
Making my way through an open door
I've got some love and so much more
And I'll find her, 'cos it's about time
You try too hard and it feels just like
You're running on thin air
Why does luck happen by suprise
If you don't really care
The past is gone the flames are out
From fires that have burned
New ideals and different thoughts
From lessons I have learned
Biding my time, trying to find a heart that's lonely
Looking for her, my love my one and only
Maybe I'll dream, tonight about the girl who'll be coming my way
So I'll take this chance and celebrate the day
When I'm making my way through an open door
I've got some love and so much more
And I""m ready to make someone mine
Making my way through an open door
I've got some love and so much more
And I'll find her, 'cos it's about time
Got the feeling this could take a pretty long while
Put my faith in another piece of good advice
Waiting for, a little something more
To inspire, take me higher  ohhh
And I""m ready to make someone mine
Making my way through an open door
I've got some love and so much more
And I'll find her, 'cos it's about time
It's about time
","['E', 'C#m', 'D', 'E', 'E', 'C#m', 'D', 'E', 'E', 'C#m', 'D', 'E', 'E', 'C#m', 'D', 'E', 'C#m', 'D', 'C#m', 'D', 'C#m', 'D', 'A', 'F#m', 'B', 'E', 'B', 'C#m', 'G#m', 'A', 'D', 'E', 'B', 'C#m', 'G#m', 'A', 'D', 'E', 'C#m', 'D', 'E', 'E', 'C#m', 'D', 'E', 'E', 'C#m', 'D', 'E', 'E', 'C#m', 'D', 'E', 'C#m', 'D', 'C#m', 'D', 'C#m', 'D', 'A', 'F#m', 'B', 'E', 'B', 'C#m', 'G#m', 'A', 'D', 'E', 'B', 'C#m', 'G#m', 'A', 'D', 'F#m', 'G#m', 'F#m', 'G#m', 'D', 'A', 'B', 'E', 'B', 'C#m', 'G#m', 'A', 'D', 'E', 'B', 'C#m', 'G#m', 'A', 'D', 'E', 'C#m', 'D', 'E']"
7,It Doesnt Matter Anymore,Eva Cassidy,https://tabs.ultimate-guitar.com/tab/eva-cassidy/it-doesnt-matter-anymore-chords-1404715,"  There you go, baby, here am I.  Well you
left me here so I could sit and cry
  Golly gee, what have you done to me. Well I
guess it doesn't matter anymore
  Do you remember, baby, last September how you
held me tight each and every night
  Woh baby, how you drove me crazy. Well I
guess it doesn't matter anymore
Ain't no use in me a crying cause I've
done everything and now I'm sick of trying. I've
thrown away my nights,
wasted all my days over you
Now you go your way baby, I'll go mine
Now and forever till the end of time, and I'll find
somebody new, baby, we'll say we're through, and
you won't matter any more
You won't matter any more
You won't matter any more
","['C', 'G', 'G7', 'C', 'G', 'G7', 'G7/B', 'C', 'C', 'G', 'G7', 'C', 'G', 'G7', 'G7/B', 'C', 'Am', 'C', 'D', 'G', 'C', 'G', 'G7', 'C', 'G', 'G7', 'G7/B', 'C', 'G', 'G7', 'G7/B', 'C', 'G', 'G7', 'G7/B', 'C']"
8,Ojala,Pink Martini,https://tabs.ultimate-guitar.com/tab/pink-martini/ojala-chords-634052,"MA CHERRIE SI J` AVAIS UN HEURE
JE REVIENDRAIS AU PRINTEMPS DE FLEUR
QUAND TES YEUX ALLUMAINT MES JOURS 
JE L` IMAGINAIS POUR TOUJOUR
MES REGRETS SONT COMME DES TACHES
DANS LES RIVAGE DE CETTE AME CHE JE CACHE
JE VOUDRAIS ESSUYER TES LARMES
TE GARDER DANS MES BRAS EN ALARME
T`ES PARTIE LA LUNE S` EST EFFACEE
MEMA LES NUITS SONT PLUS FONCEES
JE M` INQUIETE DE CE SILENCE PROFOND 
CAR SANS TOI, IL N` Y PAS DE CHANSON
AVEC LES YEUX FIXE SUR MON REVE
A LA FIN DU JOUR MES DOUTS S`ACHEVENT
AVEC MON COEUR PLEIN DE LUMIERE
ON PEUT REVENIR EN ARRIERE
","['Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb', 'D', 'Gm', 'F', 'Bb', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb', 'F', 'Bb']"
9,Dosvedanya Mio Bombino,Pink Martini,https://tabs.ultimate-guitar.com/tab/pink-martini/dosvedanya-mio-bombino-chords-3827210,"The samovar is full of tea,
You stare unblinkingly at me,
While your car waits in the freezing rain,
I know your soul calls Moscow home,
But your heart belongs to Rome,
So for years I've followed you in vain,
But oh... will you ever know... what you are!
Dosvedanya, mio bombino,
Dosvedanya, mio bombino,
There is a place where only you alone go,
There is a world that only you alone know.
Along an endless balcony,
Above the Adriatic Sea,
I tried to storm the Kremlin of your heart,
In Florence we were on the mend,
But that mazurka had to end,
You missed the naked trees of Gorky Park,
But oh... will you ever know... what you've lost!
Dosvedanya, mio bombino,
Dosvedanya, mio bombino,
There is a place where only you alone go,
There is a world that only you alone know.
But oh... will you ever know... what you have!
Dosvedanya, mio bombino,
Dosvedanya, mio bombino,
There is a place where only you alone go,
There is a world that only you alone know.
I heard you finally settled down,
In a warm Italian town,
So I took the train to see you there,
Your wife is sweet and you're well-fed,
Your daughter tucked away in bed,
Still, you looked at me with great despair,
""I hear snow is falling on Red Square!""
Val-de-ree, val-de-rah, val-de-ree, val-de-rah-ah-ah-ah-ah-ah-ah-ah,
Val-de-ree, val-de-rah, my knapsack on my back!
Val-de-ree, val-de-rah, val-de-ree, val-de-rah-ah-ah-ah-ah-ah-ah-ah,
Val-de-ree, val-de-rah, my knapsack on my back!
","['Am', 'Am', 'F', 'E', 'Am', 'Am', 'F', 'E', 'G', 'C', 'F', 'C', 'F', 'Am', 'G', 'E', 'Am', 'G', 'E', 'Am', 'E', 'Am', 'Am', 'Am', 'F', 'E', 'Am', 'Am', 'F', 'E', 'G', 'C', 'F', 'C', 'F', 'Am', 'G', 'E', 'Am', 'G', 'E', 'G', 'C', 'F', 'C', 'F', 'Am', 'G', 'E', 'Am', 'G', 'E', 'Am', 'Am7', 'F', 'E', 'Am', 'Am7', 'F', 'Esus4', 'E', 'F', 'Fmaj7', 'Esus4', 'G7', 'C', 'G', 'C', 'G7', 'C', 'F', 'G', 'C', 'G7', 'C', 'G', 'C', 'G7', 'C', 'F', 'G', 'C']"
10,Thats All,Rod Stewart,https://tabs.ultimate-guitar.com/tab/rod-stewart/thats-all-chords-3299417,"I can only give you love that lasts forever,
And a promise to be near each time you call.
And the only heart I own
For you and you alone
That's all,
That's all
I can only give you country walks in springtime
And a hand to hold when leaves begin to fall;
And a love whose burning light
Will warm the winter's night
That's all,
That's all.
There are those I am sure who have told you,
They would give you the world for a toy.
All I have are these arms to enfold you,
And a love time can never destroy.
If you're wondering what I'm asking in return, dear,
You'll be glad to know that my demands are small.
Say it's me that you'll adore,
For now and evermore
That's all,
That's all.
If you're wondering what I'm asking in return, dear,
You'll be glad to know that my demands are small.
Say it's me that you'll adore,
For now and evermore
That's all,
That's all.
","['Dmaj7', 'Em7', 'F#m7', 'Em7', 'A13', 'Dmaj7', 'F#m7b5', 'Em7', 'A13', 'F#7', 'Bm7', 'E9', 'Em7', 'Ddim', 'F#m7', 'Adim', 'Bb7b5', 'A7sus', 'A7', 'Dmaj7', 'Em7', 'F#m7', 'Em7', 'A13', 'Dmaj7', 'F#m7b5', 'Em7', 'A13', 'F#7', 'Bm7', 'E9', 'Em7', 'Ddim', 'F#m7', 'B7b5', 'Em7', 'A7b5', 'D', 'Dmaj7', 'Adim', 'Am7', 'D9', 'Gmaj7', 'Am7', 'D9', 'Gmaj7', 'Bm7', 'E13', 'Amaj7', 'Bm7', 'E13', 'Em/A', 'A7b5', 'Dmaj7', 'Gmaj7', 'Dmaj7', 'Gmaj7', 'F#m7', 'B9', 'Em7', 'A13', 'F#7', 'Bm', 'Bmmaj7', 'Bm7', 'E9', 'Em/A', 'A7b9', 'Dmaj7', 'F#7sus', 'F#7', 'Dmaj7', 'Gmaj7', 'Dmaj7', 'Gmaj7', 'F#m7', 'B9', 'Em7', 'A13', 'F#7', 'Bm', 'Bmmaj7', 'Bm7', 'E13', 'F#m7', 'F13', 'Em7', 'A6b9', 'Dmaj7', 'Em7', 'F#m7', 'Em7', 'Dmaj7']"
11,Be Here To Love Me (ver 2),Norah Jones,https://tabs.ultimate-guitar.com/tab/norah-jones/be-here-to-love-me-chords-1843657,"Your eyes seek conclusion in all this confusion of mine
Though you and I both know it's only the warm glow of wine
That's got you to feeling this way, but I don't care,
And hold me and tell me you'll be here to love me today
Children are dancin', the gamblers are chancin' their all
The window's accusing the door of abusing the wall
But who cares what the night watchmen say
The stage has been set for the play
Hold me and tell me you'll be here to love me today
The moon's come and gone but a few stars hang on on to the sky
The wind's runnin' free but it ain't up to me ask why
The poets are demanding their pay
They've left me with nothin' to say
'cept hold me and tell me you'll be here to love me today
Just hold me and tell me that you'll be here to love me today
","['D#', 'C#', 'G#', 'G#sus4', 'D#', 'C#', 'G#', 'G#sus4', 'C#', 'G#', 'D#', 'C#', 'G#', 'D#', 'C#', 'G#', 'G#sus4', 'D#', 'C#', 'G#', 'C#', 'G#', 'D#', 'C#', 'G#', 'G#sus4', 'D#', 'C#', 'G#', 'G#sus4', 'C#', 'G#', 'G#sus4', 'D#', 'C#', 'G#', 'D#', 'C#', 'G#']"
12,Toes,Norah Jones,https://tabs.ultimate-guitar.com/tab/norah-jones/toes-chords-671399,"The current is strong from what I've heard
I'll whisk you down the stream
But I never seem to have the time
So my toes just touch the water
So my toes just touch the water
Daydreamed on the bank again
I was swimming with the fish
And I thought this time that it may be true
But my toes just touched the water
But my toes just touched the water
But my toes just touched the water
Walked a mile just to find the edge
Some place low enough
to step right in
Now I'm here and I can't begin
to move, mmmm
","['C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'D#maj7', 'Dm', 'C', 'G', 'Bb', 'Am', 'C', 'G']"
13,Narrow Daylight,Diana Krall,https://tabs.ultimate-guitar.com/tab/diana-krall/narrow-daylight-chords-2932076,"Narrow daylight    entered my room
Shining hours were brief
Winter is over
Summer is near
Are we stronger than we believe?
I walked through halls of reputation
Among the infamous too
As the camera clings to the common thread
Beyond all vanity
Into a gaze to shoot you through
Is the kindness we count upon
Hidden in everyone
I stepped out in a sunlit grove
Although deep down I wished it would rain
Washing away all the sadness and tears
That will never fall so heavily again
Is the kindness we count upon
Hidden in everyone
I stood there in the salt spray air
Felt wind sweeping over my face
I ran up through the rocks to the old wooden cross
It's a place where I can find some peace
Narrow daylight    entered my room
Shining hours were brief
Winter is over
Summer is near
Are we stronger than we believe?
","['G', 'Em', 'C', 'G', 'G', 'Em', 'C', 'G', 'Em', 'C', 'G', 'Em', 'D', 'G', 'G', 'Em', 'C', 'G', 'G', 'Em', 'C', 'G', 'G', 'Em', 'C', 'D', 'G', 'C', 'G', 'G', 'D', 'C', 'C', 'Em', 'C', 'D', 'G', 'C', 'Em', 'C', 'D', 'G', 'C', 'G', 'G', 'D', 'C', 'C', 'Em', 'C', 'D', 'G', 'C', 'Em', 'C', 'D', 'G', 'G', 'Em', 'C', 'G', 'G', 'Em', 'C', 'G', 'Em', 'C', 'G', 'G', 'D', 'G']"
14,Narrow Daylight (ver 2),Diana Krall,https://tabs.ultimate-guitar.com/tab/diana-krall/narrow-daylight-chords-3134759,"Narrow daylight entered my room
Shining hours were brief
Winter is over
Summer is near
Are we stronger than we believe?
I walked through halls of reputation
Among the infamous too
As the camera clings to the common thread
Beyond all vanity
Into a gaze to shoot you through
Is the kindness we count upon
Hidden in everyone?
I stepped out in a sunlit grove
Although deep down I wished it would rain
Washing away all the sadness and tears
That will never fall so heavily again
Is the kindness we count upon
Hidden in everyone
I stood there in the salt spray air
Felt wind sweeping over my face
I ran up through the rocks to the old wooden cross
It's a place where I can find some peace
Narrow daylight entered my room
Shining hours were brief
Winter is over
Summer is near
Are we stronger than we believe?
","['G', 'G/F#', 'Em7', 'C', 'G', 'G', 'G/F#', 'Em7/B', 'C', 'G', 'Em7/B', 'C', 'G', 'D', 'G', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'G/F#', 'Em7/B', 'C', 'G', 'Em7/B', 'C', 'D', 'G', 'G', 'D', 'Dsus4', 'D', 'D2', 'D', 'C', 'Cadd9', 'C', 'Cmaj7', 'C', 'C', 'Em7/B', 'G', 'C', 'D', 'G', 'C', 'Em7/B', 'G', 'C', 'D', 'G', 'G', 'D', 'Dsus4', 'D', 'D2', 'D', 'C', 'Cadd9', 'C', 'Cmaj7', 'C', 'C', 'Em7/B', 'G', 'C', 'D', 'G', 'C', 'Em7/B', 'G', 'C', 'D', 'G', 'G', 'G/F#', 'Em', 'C', 'G', 'G', 'G/F#', 'Em7/B', 'C', 'G', 'Em7/B', 'C', 'G', 'G', 'D', 'C']"
15,Photograph,Jamie Cullum,https://tabs.ultimate-guitar.com/tab/jamie-cullum/photograph-chords-957794,"    Her name was written on a photograph, 
          Right next to her red, sunburnt face, 
I can't remember how it started 
And if it lasted that day in the sun. 
When I look back on my ordinary, ordinary life, 
I see so much magic, though I missed it at the time. 
When I look back on my ordinary ordinary, ordinary life, 
I see so much magic, though I missed it at the time. 
","['Fadd9', 'A', 'D', 'C', 'F', 'A', 'D', 'C', 'F', 'A', 'D', 'C', 'Bb', 'D', 'C', 'G#add9', 'Bb6', 'C#add9', 'Eb6', 'Fadd9', 'G#', 'Bb', 'Eb', 'Ebsus4', 'Ebsus2', 'Eb', 'G#', 'Bb', 'Eb', 'Ebsus4', 'Ebsus2', 'Eb', 'G#', 'Bb', 'Eb', 'Ebsus4', 'Ebsus2', 'Eb', 'G#', 'Bb', 'Fadd9']"
16,21St Century Kid,Jamie Cullum,https://tabs.ultimate-guitar.com/tab/jamie-cullum/21st-century-kid-chords-978285,"There's maybe a way I can tell you
Cos with ev'ry day things continue
To get more compromised
So who will fantasise
A new generation politicised
When things are done in our own name
Are we as much to blame?
Now it's become clear to me
But only lately
The ground is removed underneath,
Shout it from the brink
You're louder than you think
21st Century kid
Is surrounded by illusion and confusion
So maybe if you're holding out for the truth now
Could it be the greatest weapon?
Could it be the greatest weapon?
Be a weapon
Nothing is certain except a mem'ry
That's soon washed away by a low sea
Sit yourself down my one
And see what you become
Ignoring a smouldering gun
White dove's flown...
D'ya think we're on our own?
21st Century kid
Is surrounded by illusion and confusion
So maybe if you're holding out for the truth now
Could it be the greatest weapon?
21st Century kid
Is surrounded by illusion and confusion
So maybe if you're holding out for the truth now
Could it be the greatest weapon?
Could it be the greatest weapon?
Your weapon
","['Gmaj7', 'Bm7', 'Fmaj9', 'Am7', 'G', 'Bm7', 'Fmaj9', 'Am7', 'G', 'Bm7', 'Fmaj9', 'Am7', 'G', 'Bm7', 'Fmaj9', 'Am7', 'G', 'Bm', 'Dm', 'Am7', 'G', 'Bm', 'Dm', 'Am7', 'G', 'Bm', 'Dm', 'Am7', 'G', 'Bm', 'Dm', 'Am', 'Bbm(maj7)', 'Eb9', 'G', 'G(b5)', 'G6', 'G', 'F', 'Dm', 'Bm', 'B7sus4', 'G', 'Dm', 'C', 'G/B', 'Bbm6', 'Csus2/A', 'Gm', 'Em7b5', 'Ebmaj7', 'Bb', 'C', 'G', 'G', 'Bm', 'Dm', 'Am7', 'G', 'Bm', 'Dm', 'Am7', 'G', 'Bm', 'Dm', 'Am7', 'G', 'Bm', 'Dm', 'Am7', 'Bbm6', 'Eb9', 'G', 'F', 'Dm', 'Bm', 'B7sus4', 'G', 'Dm', 'C', 'G/B', 'Bbm6', 'Csus2/A', 'G', 'Gb', 'Ebm', 'Cm', 'Ab', 'Ebm', 'Db', 'Ab/C', 'Bm6', 'Gb/Bb', 'Abm', 'Abm/Gb', 'Abm/F', 'Cb', 'Dbm', 'Ab']"
